Club Name,Recordings,Club Identifier,Country,Additional Info
Dream Cam 7,648,brand-dream-oct-2024,England,
Dream Cam 8,400,blue-orange,England,
Dream Cam 9,223,blue-orange-nov-2024,England,
DREAM CAM (VEO2),202,brand-dream,England,
Dream chaser and Olympia,75,fc-olympia,England,
Dream chaser and Olympia - new,30,dream-chaser-and-olympia-new,England,
Dream City Christian,19,dream-city-christian-post-grad,United States,
Dream City Christian School,14,dream-city-post-grad,United States,
Dreamers FC,262,dreamers-fc,England,
DREAM,47,dream-football-club,England,
Benjamin Chueng,543,dreams42,England,
Dream Soccer Park,897,fc-bologna,United States,
Dream team games,21,dream-team-games,England,
Drefach FC,68,drefach-football-club,Wales,Drefach
Dresdner Sportclub 1898 e.V.,33,dresdner-sportclub-1898-ev,Germany,Dresden
Drew Dixon,12,drew-dixon,England,
Drew Hilgenberg,257,drew-hilgenberg,England,
Drew Jordan,76,drew-jordan-basketball,England,
Drew Krewe,115,drew-krewe,United States,
Drexel University,87,djo-soccer,United States,Philadelphia
Drexel University,87,djo-soccer,United States,Philadelphia
DRFC,30,donaghadee-rugby-football-club,England,
Driffield RFC,72,driffield-rfc,England,Driffield
Driffield Rugby Club,32,driffield-rugby-club,England,Driffield
Driftwood Youth Sports,102,driftwoodyouthsports,United States,
DrigRugby,22,drighlington-arlfc-ecb4a167,England,
Drillers soccer club,42,drillers-soccer-club,England,
Drillers (Tennant),15,drillers-tennant,England,
DSHS Soccer Booster Club,291,dripping-springs-high-school-soccer-booster-club,United States,
Michigan Soccer,70,almont-raiders,United States,Michigan
Driv,24,driv,England,
Drogheda United Academy,38,drogheda-united,Ireland,Drogheda
Kilester Donncarney,93,kilester-donncarney-football-club,Ireland,Donncarney
Drogheda United Academy,38,drogheda-united,Ireland,Drogheda
Droitwich Rugby Football Club,10,droitwich-rugby-football-club-a62bc610,England,Droitwich
Droitwich Spa Youth FC,172,droitwich-spa-boys-and-girls-fc,England,Droitwich
Dromara fc,197,dromara-village,Northern Ireland,Dromara
Drom/Broadford,73,dromcollogherbroadford-gaa,Ireland,
Drom Hasharon,308,drom-hasharon-sc,Israel,
Dromin Athlacca GAA,19,dromin-athlacca-gaa,Ireland,Dromin
Dromore,22,dromore,Northern Ireland,Dromore
Dromore High Rugby`,11,dromore-high-school,Northern Ireland,Dromore
Dromore Ladies,48,dromore-ladies-gfc,Northern Ireland,Dromore
DRFC,30,donaghadee-rugby-football-club,England,
Dromore GFC,63,dromore-st-dympnas-gaelic-football-club,Northern Ireland,Dromore
Dromore United,90,dromore-united,Northern Ireland,Dromore
Dronfield RUFC,81,dronfield-rugby-union-football-club,England,Dronfield
Dronfield Town U9 Reds,23,dronfield-town-fc-eed875ad,England,Dronfield
DB,150,dronningborg-boldklub-2,England,
Dropship FC,65,dropship-fc,England,
Droylsden FC,48,droylsden-fc,England,Droylsden
Droylsden,26,droylsden-football-club,England,Droylsden
DRUFC,39,drufc,England,
Druid Hills HS,51,druid-hills-high-school-soccer,United States,
Druids,45,druids-club,Wales,
Mills,121,drumaness-mills,England,
Drumbaragh Emmets Gfc,81,rathkenny-gfc,Ireland,Drumbaragh
Drumchapel united,154,drumchapel-united-9fc5ce86,Scotland,Drumchapel
Drumchapel United,99,drumchapel-united-fc-28ac7ad8,Scotland,Drumchapel
Drumchapel United Saturday morning,94,drumchapel-united-saturday-morning,Scotland,Drumchapel
Drumchapel utd 2010,14,drumchapel-utd-3ada0539,Scotland,Drumchapel
DRP,47,drumcliffe-rosses-point-gaa-3d087f00,England,
Drumgath GAC,12,drumgath-gac-56a75a3c,Ireland,Drumgath
Drumquin GFC,47,drumquin-gfc,Northern Ireland,Drumquin
Drumragh,89,drumragh-sasfields-gac,Northern Ireland,Drumragh
Drury,58,drury-university-mens-lacrosse,England,
Drury United,61,drury-united,England,
Drury University,105,drury-university,United States,Springfield
DNS Mura,269,drustvo-nogometna-sola-mura,Slovenia,
DNS Ljubljana,92,drustvo-nogometnih-sodnikov-ljubljana,Slovenia,Ljubljana
Drybrook Rugby Football Club,32,drybrook-rugby-football-club,England,Drybrook
Dryburgh Athletic,66,drybrugh-athletic-community-club,Scotland,Dryburgh
DS,43,ds-2,England,
DS,43,ds-2,England,
DSA,192,dsa-sports-club,England,
DSA Sports Club - V2,31,dsa-sports-club-new,England,
DSA United,64,pitch-llc,England,
Doral Soccer Club,224,doral-soccer-club-2,United States,Doral
Arminia Bielefeld,263,dsc-arminia-bielefeld-3,Germany,Bielefeld
Dyersburg State Soccer,131,dyersburg-state-cc-womens-soccer,United States,Dyersburg
DSC,32,doral-soccer-club-272c446e,England,
DSC,32,doral-soccer-club-272c446e,England,
DS Edusoccer,164,ds-edusoccer-puerto-rico,England,
DSFC Inactive 1,107,dungannon-swifts-football-club,England,
Union HABAU Perg,294,dsg-union-habau-perg,Austria,Perg
DSG Union Pichling,12,dsg-union-pichling,Austria,Pichling
DSMFL,43,dsmfl,England,
DSM Hartberg Fußball-Akademie,854,dsm-hartberg-fuball-akademie,Austria,Hartberg
DSPFC,82,columbia-youth-soccer-association,England,
DSSC Competitive,96,dssc-competitive,England,
DSS Haarlem,27,dss-haarlem,Netherlands,Haarlem
DSSi,21,dssi,England,
DSSi-HOLT,12,dacha-ssi,England,
CVHS Soccer,38,dsst-college-view-high-school-soccer,United States,
DSST: GVR,39,dsst-green-valley-ranch-high-school,United States,
DSV'61,26,dsv61-8a6b16f7,Netherlands,
DSV TGI Gold Leoben,190,dsv-leoben-kaif-energy,Austria,Leoben
DTA Fortius,55,dta-fortius-04fdeadd,England,
DTA,137,dta-fortius,England,
Duagh GAA,27,duagh-gaa,Ireland,Duagh
Duarte Project Management,26,duarte-project-management,United States,Duarte
Carlos,198,gava,England,
DAFL,2261,dubai-amateur-football-league,England,
DBSEH,83,dubai-british-school-emirates-hills,England,
DUBAI COLLEGE,120,dubai-college,United Arab Emirates,Dubai
Dubai English Speaking College (DESC),91,dubai-english-speaking-college,United Arab Emirates,Dubai
Canes Girls,116,dubai-hurricanes,United States,
Dubai Irish FC,669,dubai-irish-football-club,United Arab Emirates,Dubai
Dubai Sharks RFC,23,dubai-sharks-rugby-football-club,United Arab Emirates,Dubai
Dubai Tigers Rugby Club,17,dubai-tigers-rugby-club-b0c94fdc,United Arab Emirates,Dubai
Dubai Tigers u16,20,dubai-tigers-u16,United Arab Emirates,Dubai
Dubai Tigers u16 Club,28,dubai-tigers,United Arab Emirates,Dubai
Dubbo Bulls FC,48,dubbo-bulls-fc,Australia,Dubbo
Dubbo Football,23,dubbo-district-football-association,Australia,Dubbo
Dublin Bus FC,41,dublin-bus-fc-14c08a4e,Ireland,Dublin
Dublin Camogie,36,dublin-camogie,Ireland,Dublin
Dublin Coffman Shamrocks,102,dublin-coffman-girls-soccer,Ireland,Dublin
Dublin GAA,155,dublin-gaa,Ireland,Dublin
Dublin Hospitals FC,25,dublin-hospitals-fc,Ireland,Dublin
Dublin Raiders Basketball club,31,dublin-raiders-basketball-club,Ireland,Dublin
Dublin United Soccer,43,na-d8e08cb5,Ireland,Dublin
DUSL,59,dublin-united-soccer-league-56b75dc5,Ireland,Dublin
Dublin United Soccer League,34,dublin-united-soccer-league-9f5b8ac8,Ireland,Dublin
Dublin United Soccer League,34,dublin-united-soccer-league-9f5b8ac8,Ireland,Dublin
DUSL,59,dublin-united-soccer-league-56b75dc5,Ireland,Dublin
DCC cardinals,22,dubois-central-catholic,England,
NK Dubravčan,26,dubravcan-donja-dubrava,Croatia,Dubravčan
DSC,32,doral-soccer-club-272c446e,England,
Duchy College,29,duchy-college,England,
DUCS,30,ducs,England,
Dudley College Sport,230,dudley-college-sport,England,Dudley
DK RFC,69,dudley-kingswinford-rfc,England,Dudley
Dudley Town FC First,51,dudley-town-fc-first,England,Dudley
Dudley Town u18's,77,lye-town-football-club,England,Dudley
DUFC Blue - 2012,152,ayso-united-downey-2012,England,
Dynamos,71,duffield-dynamo,England,
DoYMS,86,duke-of-york-military-school,England,
DOYRMS,93,duke-of-yorks-royal-military-school-c31ef274,England,
Duke University RFC,26,duke-university-rfc,United States,Durham
Duki Boys Fc,46,duki-boys-fc,England,
Dukla Praha - W,172,dukla-praha-w,Czech Republic,Prague
duKTiG,652,duktig-brand,England,
Duleek AFC,36,duleek-afc,Ireland,Duleek
Duleek Bellewstown,37,duleek-bellewstown,Ireland,Duleek
Duluth East Boys,46,east-select-soccer,United States,Duluth
Duluth FC,25,duluth-football-club,United States,Duluth
Duluth Marshal School,43,duluth-marshal-school,United States,Duluth
Dulwich College Pudong Shanghai,86,dulwich-football-academy,China,Shanghai
Dulwich Hamlet FC,37,dulwich-hamlet-football-club-d9809de6,England,London
DHWFC - Pink & Blues,103,dulwich-hamlet-football-club,England,
Dully,964,dulwich-hill-football-club,England,
Dulwich Village FC,24,dulwich-village-fc-002eebfc,England,London
Demonette Soccer,124,dumas-girls-high-school-soccer,United States,
DU,66,dumbarton-united-e234df44,England,
Dumfries Saints,49,dumfries-saints-rugby-football-club,Scotland,Dumfries
Dumlupinar Spor Kulubu,178,dumlupinar-spor-kulubu,Turkey,
Dumont Soccer Club,19,dumont-soccer-club,United States,Dumont
Carmen,32,bucuresti-strada-aristide-pascal-29-31-sector-3,England,
Dunbar,12,dunbar-rovers-fc,Scotland,Dunbar
Dunbar Rovers FC,666,dunbar-rovers-fc-939f648b,Scotland,Dunbar
DRFC,30,donaghadee-rugby-football-club,England,
Dunbar RFC,52,dunbar-rugby-football-club,Scotland,Dunbar
DUNBAR,494,dunbar-united-fc,Scotland,Dunbar
Dunblane,93,dunblane-soccer-club,Scotland,Dunblane
Dunbleholden FC,51,chapelton-maroons,England,
Dunboyne,90,dunboyne-afc-32dbcd56,Ireland,Dunboyne
Duncan High School,60,duncan-high-school,United States,Duncan
Duncan’s club,38,duncans-club,England,
Dundalk RFC,157,dundalk-rugby-club,Ireland,Dundalk
Irelanders,63,dundalk-young-irelands,England,
Dundee & Angus College,95,dundee-angus-college,Scotland,Dundee
Ship builders,47,dundee-fc,Scotland,Dundee
Dundee FC Academy,552,dundee-fc-academy-2,Scotland,Dundee
Dundee Madsons,210,dundee-madsons-basketball-club,Scotland,Dundee
Dundee North End FC,114,dundee-north-end-fc,Scotland,Dundee
Dundee Rugby,71,dundee-rugby-club-65550035,Scotland,Dundee
Dundee United,120,dundee-united-womens-football-club,Scotland,Dundee
DUSC,64,downtown-united-soccer-club-15870d4d,United States,
DUSC 2010s,64,dundee-united-sports-club,United States,
Dundee Violet JFC,161,dundee-violet-jfc,Scotland,Dundee
Dundee West,128,dundee-west-football-club-3,Scotland,Dundee
Dundee West Royals 2013's,64,dundee-west-royals-2013s,Scotland,Dundee
Dundela Academy,17,dundela-academy,Northern Ireland,Belfast
Dundonald FC,15,dundonald-fc-2e4ee529,Northern Ireland,Dundonald
Dunedin City Royals FC,184,dunedin-south-city-fc-incorporated,New Zealand,Dunedin
Dunedoo Rugby League Football Club Inc,54,dunedoo-rugby-league-football-club-inc,Australia,Dunedoo
Carnegie,48,dunfermline-carnegie-hockey-club,Scotland,
Dunfermline Reign,111,dunfermline-reign-basketball-club,Scotland,Dunfermline
Dunfermline Reign Seniors,20,dunfermline-reign-senior,Scotland,Dunfermline
Dunfermline Rugby Club,70,dunfermline-rugby-football-club,Scotland,Dunfermline
Dungannon,16,dubgannon,Northern Ireland,Dungannon
Dungannon Thomas Clarkes,127,dungannon-thomas-clarkes,Northern Ireland,Dungannon
Dungarvan Rugby Club,84,dungarvan-rugby-football-club,Ireland,Dungarvan
Dungarvan Utd,53,dungarvan-utd-afc,Ireland,Dungarvan
Dungourney GAA,27,dungourney-gaa,Ireland,Dungourney
Dungowan Cowboys,48,dungowan-rugby-league-football-club,Australia,Dungowan
Dungoyne FC 2,31,dungoyne-football-club,Northern Ireland,Dungoyne
Dunipace 2010 Lwys,20,lightways-contractors-ltd,Scotland,Dunipace
Dunipace FC Youth,46,dunipace-fc-youth,Scotland,Dunipace
Dunipace Football Club,58,dunipace-football-club-0a476058,Scotland,Dunipace
Usld,316,dunkerque,England,
Dunkirk fc,13,dunkirk-fc-19887773,England,Dunkirk
Dunkirk Colts,27,dunkirk-football-club,England,Dunkirk
Dunloy FC,164,dunloy-football-club,Northern Ireland,Dunloy
Dunmanway Rugby Football Club,39,dunmanway-rugby-football-club-f51ff811,Ireland,Dunmanway
Dunmore Junior Bucks,78,dunmore-junior-bucks,United States,
Dunmore MacHales,39,dunmore-machales-693dd7c7,Ireland,Dunmore
Dunmore RFC,90,dunmore-rugby-football-club,England,
Dunmore,58,dunmore-town,England,
Dunno,44,dunnington-fc,England,
Dunottar School,206,dunottar-school,Scotland,Stonehaven
Dunsany GAA Club,11,dunsany-gaa-clun,Ireland,Dunsany
Dunses Disciple,16,viktor-julius-club,England,
Dunshaughlin & Royal Gaels GAA,41,dunshaughlin-royal-gaels-gaa-55c7cd91,Ireland,Dunshaughlin
Dunshaughlin & Royal Gaels,135,dunshaughlin-royal-gaels-gaa,Ireland,Dunshaughlin
Dunstable,96,bedfordshire-fa-dunstable,England,Dunstable
Dunstable Town,42,dunstable-town-fc,England,Dunstable
Dunstable Town FC,10,dunstable-town-fc-95e1cba3,England,Dunstable
Dunstablians,74,dunstablians-rugby-union-football-club-ltd,England,Dunstable
Dunvant RFC,71,dunvant-rugby-football-club-dc3c7f0c,Wales,Dunvant
Dunvant RFC,71,dunvant-rugby-football-club-dc3c7f0c,Wales,Dunvant
Dunwoody High School Girls Soccer,102,dunwoody-high-school-girls-soccer,United States,Dunwoody
DUO BASKETBALL CLUB,43,duo-basketball-club,England,
DUOMO,26,ssd-circolo-parrochiale-duomo,England,
duPont Manual Girls Soccer,72,dupont-manual-girls-soccer,United States,Louisville
Duquesne Univeristy,206,duquesne-univeristy,United States,Pittsburgh
Duquesne University Women's Soccer,70,duquesne-university-womens-soccer,United States,Pittsburgh
Dural Rugby Club,30,dural-rugby-club-incorporated,Australia,Dural
Dural Warriors Futsal Club,166,dural-warriors-futsal-club,Australia,Dural
Duran Cornelius,45,duran-cornelius,England,
City,40,durham-city-rugby-club,England,
Durham FC,120,durham-corinthians-fc,England,Durham
Durham Johnston Comprehensive,89,durham-johnston-comprehensive,England,Durham
Quakies,89,durham-quakies-fc,United States,
Durham School,61,durham-school,England,Durham
Durham United Youth FC,27,durham-united-youth-fc,England,Durham
Bangor FC,306,bangor-football-club-2,Wales,
Bangor Grammar School,16,bangor-grammar-school,Wales,
Bangor Hockey Club,33,bangor-hockey-club,Wales,
Bangor RFC,60,bangor-rugby-club,Wales,
Bangor Swifts Juniors,17,bangor-swifts-juniors,Wales,
BYM FC,64,bangor-young-men-football-club,Unknown,
Bangsbo Freja,232,bangsbo-freja,Denmark,
Baník Královské Poříčí,46,banik-kralovske-porici,Czech Republic,
Baník Svatava,11,banik-svatava,Czech Republic,
BU Nové Sedlo,21,banik-union-nove-sedlo,Czech Republic,
Baník Vintířov,13,banik-vintirov,Czech Republic,
FC BaniYas,562,baniyas-sports-cultural-club,United Arab Emirates,
Bankryds SK,184,bankryds-sk,Sweden,
Banksia Tigers FC,201,banksia-tigers-football-club,Australia,
Banks o’ Dee,124,banks-o-dee-football-club,Scotland,Aberdeen
Bankstown City FC,257,bankstown-city-fc-incorporated,Australia,
Bankstown City Lions,80,bankstown-city-lions-a3211b3d,Australia,
Bankstown Sports JRL,19,bankstown-sport,Australia,
Bankstown Sports Strikers FC,97,bankstown-sports-strikers-football-club,Australia,
BUFC,245,dimitri-hursalas,Unknown,
Bannach,10,ayso-819f5cba,Unknown,
Bannockburn AFC,52,bannockburn-afc,Scotland,
Banstead Village,16,banstead-village-football-club,England,
Bantry Bay RFC,104,bantry-bay-rfc,Ireland,
Bantum FC,121,bantum-fc,Unknown,
Banwell FC,79,banwell-football-club-ad1c7bff,England,
Baobab College,30,baobab-college,Unknown,
BA - QRO,13,barca-academy-b460de1b,Mexico,Querétaro
Baradine Magpies RLFC,36,baradine-magpies-rlfc,Australia,
Bara Gif,163,bara-gif-6edbc82e,Sweden,
Barakaldo CF,33,barakaldo-cf,Spain,
Huddinge IF,10,baran-coskun,Sweden,
Baranyay,22,parent-of-sports-kids-at-private-school,Unknown,
Baranyi Gábor,79,baranyi-gabor,Unknown,
Barber FC,388,barber-family-club,Unknown,
Barber FC,388,barber-family-club,Unknown,
Wolfpack,178,barbers-hill-wolfpack,Unknown,
Barbe High School - Soccer,264,barbe-soccer,United States,
Masters Summer League,35,barboros-kara,Unknown,
Barbour Soccer,15,barbour-soccer,Unknown,
Barboursville Youth Football,76,barboursville-youth-football,United States,
Barca,36,barca-d5de1d40,Unknown,
Barca 11 Blue,29,barca-11-orange,Unknown,
2013 Ferran,125,barca-2013-ferran,Unknown,
Barca Academy,15,barca-academy-5fbe0ca4,Unknown,
Barça Academy 2012 South Grana,24,barca-academy-2012-south-grana,Spain,
BAA,269,mark-nutter,Unknown,
Barca Academy Austin,52,barca-academy-orlando,United States,Austin
BARÇA Academy Austin,342,barca-academy-austin,United States,Austin
Barça Academy Bucharest,17,barca-academy-bucharest,Romania,Bucharest
BARÇA Academy Carolinas,321,barca-academy-charlotte,United States,Carolinas
TOCA Barca Academy Columbus,263,barca-academy-columbus-cbda57dd,United States,Columbus
Barca Academy,15,barca-academy-5fbe0ca4,Unknown,
Barça,227,barca-academy-pro,Spain,Barcelona
Barca,36,barca-d5de1d40,Unknown,
Barca,36,barca-d5de1d40,Unknown,
FC Barcelona,130,barca-academy-pro-miami-2d8334b6,Spain,Barcelona
Barca Academy Pro Miami,113,barca-academy-pro-miami-31fbfede,United States,Miami
Barça Academy Pro Miami,43,barcelona-academy-miami-9addd528,United States,Miami
Barça Academy Pro Miami,43,barcelona-academy-miami-9addd528,United States,Miami
Barça Academy New York - Girls 2009,41,barca-academy-pro-new-york-g2009-pro,United States,New York
Barca Academy Pro NY,52,barca-academy-pro-ny-0d280438,United States,New York
Barca Academy Pro NY,52,barca-academy-pro-ny-0d280438,United States,New York
BARCA Academy Pro US,24,barca-academy-pro-us,United States,
BARCA Academy República Dominicana,146,barca-academy-republica-dominicana,Dominican Republic,
Barca Academy Pro - Miami,58,barca-academy-pro-miami-55b3de66,United States,Miami
BARÇA Academy Zurich,28,barca-academy-zurich,Switzerland,Zurich
BARCA BLAU 2010,96,barca-academy-miami,Unknown,
Barca Miami Pro 2011,27,barca-miami-pro-2011,United States,Miami
BarcaoCoach Futbol Academy,321,barcaomuerte-futbol-academy,Unknown,
BARCA PRO 2010,70,barca-blau-2010,Unknown,
Barca Pro Miami,50,barca-pro-miami,United States,Miami
Barça Pro NY,63,barca-academy-pro-ny-3,United States,New York
Angelo Markopoulos,117,barca-pro-ny-b2010-dejong,Unknown,
Barca Residency Academy USA,162,barca-residency-academy-usa-000d4477,United States,
Barcarès XIII Laurentin Baroudeur,13,barcares-xiii-laurentin-baroudeur,France,
Barcelona,118,tsirkas-family,Spain,Barcelona
Barca,36,barca-d5de1d40,Unknown,
Barcelona Academy Chicago,146,barcelona-academy-chicago,United States,Chicago
Barca Pro Miami,50,barca-pro-miami,United States,Miami
Barcelona Blau,30,barcelona-blau,Spain,Barcelona
Barcelona City Football Club,16,barcelona-city-football-club,Unknown,
B-Elite COS,107,barcelona-elite-colorado-springs-academy,Unknown,
B.S.A.,300,barcelona-soccer-academy,Unknown,
Barcelona Soccer Academy,84,barcelona-soccer-academy-ca62908c,Unknown,
Bse11,141,barcelona-soccer-excellence-2,Unknown,
BSE 2008 Elite,98,barcelona-soccer-excellence-571654c1,Unknown,
BARCELONA SE,242,barcelona-soccer-excellence,Unknown,
Barcelona Soccer Excellence - Child,10,barcelona-soccer-excellence-child,Unknown,
Barcelona United,68,columbus-east-fc-3,Unknown,
Barcelona United,68,columbus-east-fc-3,Unknown,
Barcelona United,68,columbus-east-fc-3,Unknown,
Barcelona USA MARYLAND,124,barcelona-usa-md,United States,Maryland
BRFC,149,barden-ridgebacks-football-club,Unknown,
Froya Storhall (football centre),57,baard-groenhaag,Norway,
Bardon Latrobe,113,bardon-latrobe-football-club,Australia,
BardownTO,31,forest-hill-hockey-association,Canada,Toronto
Bardsey Warriors,11,bardsey-warriors,England,
Barellan United Football Club,43,barellan-united-football-club,Australia,
Barford,45,barford-tigers-hc,England,
Bargoed U13’s,68,bargoed-rugby-club,Wales,
Bargoed Youth RFC,18,bargoed-youth-rfc,Wales,
Baringa Football Club,63,baringa-football-club,Australia,
Baris Dikmen,117,baris-dikmen,Unknown,
Barkers,99,barkers-butts-rfc,Unknown,
SURF,34,barker-surf,Unknown,
Bark Family,29,sporting-iowa-2010g-ecnl-a7888e41,Unknown,
Barking Abbey School,214,barking-abbey-football-academy-de5371fd,England,
Barking FC,61,top-tekkers-barking-fc,England,
Barking EJA/ JPL,126,top-tekkers-football-club,England,
Barking FC Women,13,aveley-football-club,England,
Barking FC,61,top-tekkers-barking-fc,England,
Barking,37,barking-rugby-football-club-youth,England,
Barlow GSOC,19,barlow-gsoc,Unknown,
Barming Youth FC,83,barming-youth-fc,England,
Barnard Castle School Netball,16,barnard-castle-school-b5ce1e00,England,
Barnawartha football club,30,barnawartha-football-club,Australia,
Barnes Camera,98,russellville-high-school-lady-cyclones,Unknown,
Barnes Eagles,25,barnes-eagles,England,
Barnes Eagles U14 Girls,40,barnes-eagles-u14-girls,England,
Barnes HC,110,barnes-hockey-club,England,
Barnes RFC,99,barnes-rugby-football-club,England,
Barnet Deaf FC,48,st-albans-city-deaf-football-club,England,
BERFC,32,barnet-elizabethans-rfc,Unknown,
Barnet FC Academy,148,barnet-football-club-academy,England,
Barnet Nightingales,23,barnet-nightingales-fc,England,
BSC Tottenham Hotspur FC & Academy Sports,325,bsc-tottenham-hotspur,England,
Barnhurst Lane Lions FC,266,stoke-regional-talent-centre,England,
Barnoldswick Town FC,19,barnoldswick-town-football-club,England,
BSA,54,barnsley-college-bsa-3,Unknown,
Barnsley & District Sunday League,59,west-bretton-fc,England,
Barnsley Football Club,942,barnsley-football-club,England,
Griff,49,barnsley-rugby-union-football-club,Unknown,
Barnsley Women U23s,10,charnock-ridgeway-db6f6eda,England,
Barnstaple Rugby,65,barnstaple-rugby,England,
Barum,88,barnstaple-town-football-club,Unknown,
Barnstoneworth United F.C.,66,barnstoneworth-united-fc,England,
Barnton,87,barnton-juniors-football-club,England,
BARONA,19,barona-sporting-1971-ssd-rl,Unknown,
Barra Futebol Clube,99,barra-futebol-clube,Brazil,
Barrera,129,travis-koehlmoos,Unknown,
Barreto,95,sv-orion-571987a2,Unknown,
Barrett’s Camera,27,elburton-villa-football-club,Unknown,
Barrett Video,75,chesterfield-hockey-club,Unknown,
Barrhaven Scottish,328,barrhaven-scottish-rugby-football-club,Canada,Ottawa
Barrhead YFC,149,only-sport-ltd,Scotland,
Barrie North Collegiate,11,barrie-north-collegiate,Canada,Barrie
Barrie Rugby Club,28,barrie-rugby-club,Canada,Barrie
Barrie SC,10,barrie-sc-fa81c56c,Canada,Barrie
Barrie SC,10,barrie-sc-fa81c56c,Canada,Barrie
Barrie soccer club,10,barrie-soccer-club-36c49d05,Canada,Barrie
Barrie Soccer Club,499,barrie-soccer-club-4,Canada,Barrie
Barrie SC,10,barrie-sc-fa81c56c,Canada,Barrie
BSC U11B,232,barrie-soccer-club-a9beec33,Unknown,
Barrie Todd,36,barrie-todd,Unknown,
FCX Soccer,69,barrington-area-soccer-association-and-fcx-soccer-,Unknown,
Barrow Celtic FC,10,barrow-celtic,England,
Barrow Rangers GAA,15,barrow-rangers-gaa,Ireland,
Barrowford,58,barrowrford-celtic-wolves,England,
Barrow Town Falcons,39,barrow-town-falcons-37cb2bf1,England,
Barrow Town FC,84,robert-veo,England,
Barrow,45,barrow-town-football-club-34926a3e,England,
Barr-Reeve Soccer,75,barr-reeve-soccer,United States,
Barry Athletic,37,barry-athletic-football-club,Wales,
Barry Park,18,barry-park,Wales,
Barry RFC,71,barry-rugby-football-club-ltd,Wales,
Barry Schelle,20,barry-schelle,Unknown,
Barry Town United,281,barry-town-united,Wales,
Barry Town United Women,143,barry-town-united-ladies-fc,Wales,
Barsbütteler SV,319,barsbutteler-sv,Germany,
Latem,128,bart-dherde,Unknown,
Bartlesville High School,439,northeast-oklahoma-futball-club,United States,
Mustang,151,mustang-b523a278,Unknown,
Bartlett High School Boys Soccer,71,bartlett-high-school-boys-soccer,United States,
Lettieri,64,bulleen-fc,Unknown,
Bartlett SC,299,bartlett-soccer-club-3,United States,
Bartley,119,bartley-secondary-school-football-team,Unknown,
Barton Rugby,32,barton-district-rufc-46271e8a,England,
Barton FM,158,barton-fm,Unknown,
Barton Peveril Sixth Form College,429,barton-peveril-sixth-form-college,England,
barton rovers,27,barton-rovers-73883c76,England,
Barton Rovers,115,potton-united-r,England,
Barton Under Needwood RUFC LTD,59,barton-under-needwood-rufc,England,
Barton united fc,74,barton-united-football-club,England,
Bartosz Ślusarski,23,auto-spa-stachowska-slusarska-sp-k-c973eba2,Unknown,
Bartow High School,33,bartow-high-school,United States,
Bartram Trail High School Boys Soccer,26,bartram-trail-high-school-boys-soccer,United States,
Barts and The London RFC,15,barts-and-the-london-rugby-club,England,
Baruch College- Athletics Erin Pomykala,26,baruch-college-athletics,United States,New York
Baruch College Campus High School,90,baruch-college-campus-high-school,United States,New York
Barwell FC,136,barwell-fc,England,
Barwon Soccer Club,236,barwon-soccer-club-2,Australia,
BASA,29,basa,Unknown,
BHS Soccer,33,basalt-high-school-soccer,Unknown,
Bascome Football Learning Academy,22,bascome-football-learning-academy,Bermuda,
BASE,25,base,Unknown,
Basel Spartans,356,basel-spartans,Switzerland,Basel
SB4U,169,basem-nawwar,Unknown,
Basford United Football CLub,163,basford-united-football-club-limited,England,
Bashley Football Club,32,bashley-football-club-e91d8695,England,
Bashley FC,66,bashley-football-club-e9130d82,England,
Basildon Rugby Club,22,basildon-rugby-club-f649b7ab,England,
Basildon rugby club.,37,asildon-rugby-football-club,England,
Basildon Town Youth U17’s,142,basildon-town,England,
Basildon Town FC,14,basildon-town-fc-4ce3494a,England,
Basildon United FC,26,bufc,England,
Basildon Utd U10's,54,basildon-united-under-9s,England,
Basin basketball academy,21,basin-basketball-academy,Unknown,
Basin Black,34,basin-black,Unknown,
Basing Hill Football Club,16,basing-hill-football-club,England,
Basing Royals,96,basing-royals-fc,England,
Basingstoke Colts YFC,71,basingstoke-town-colts-yfc,England,
Basingstoke Hockey Club,93,basingstoke-hockey-club,England,
Basingstoke Junior Bison,53,basingstoke-ice-hockey-development-club,England,
Basingstoke Rugby Club,60,basingstoke-rfc-ltd,England,
Basingstoke School Of Development Centre Youth FC,121,basingstoke-school-of-development-centre-youth-fc,England,
BASINGSTOKE TOWN FC,398,basingstoke-town-community-football-club,England,
Basingstoke Town FC Academy,70,basingstoke-town-fc-academy,England,
Basingstoke Town Girls,34,chineham-tigers,England,
Basingstoke Town u14,15,basingstoke-town-u14,England,
Basingstoke,50,basingstoke-town-women,England,
Basin United Soccer Club,17,basin-united-soccer-club,United States,
Basis Independent Brooklyn,11,basis-independent-brooklyn,United States,Brooklyn
Baskauri,37,baskauri-1d37adc5,Georgia,
Carson,53,basketball,Unknown,
Basketball,11,basketball-cd46f8c1,Unknown,
Basketball England,158,basketball-2896a4d2,England,
Carufel's,70,border-select-basketball,Unknown,
Basketball 2024/25,44,woking-blackhawks-c6148b9d,Unknown,
Cardiff and Vale College,97,basketball-academy,Wales,Cardiff
Branford,48,branford-youth-sports,Unknown,
Sports Club,430,empire-state-basketball-club,Unknown,
Basketballscotland,447,basketballscotland,Scotland,
Basketball Wales,87,basketball-wales,Wales,
Basketball Wales  2,23,basketball-wales-2,Wales,
NBA Academy India,86,india,India,
Lot,14,baskethall55,Unknown,
